,organization_name,repo_full_name,contributors_num,is_fork,active_15,active_16,active_17,active_18,active_19,active_20,active_21,active_22,use_CI,ci_num
72,Tencent,QT4C,5,False,False,False,False,False,True,True,True,True,True,3.0
73,Douban Inc.,gobeansproxy,5,False,False,True,True,True,True,False,False,False,True,3.0
74,Baidu,Senta,4,False,False,False,False,True,True,True,False,False,False,0.0
75,GitHub,gh-ost,69,False,False,False,False,False,False,False,False,True,True,
76,International Business Machines,event-notifications-destination-ios-sdk,5,False,False,False,False,False,False,False,False,True,True,
77,International Business Machines,predict-customer-spend-using-FPPredictPlus,2,False,False,False,False,False,False,True,True,False,False,
78,PayPal,react-paypal-js,29,False,False,False,False,False,False,False,True,True,True,6.0
79,haiwen,MPMessagePack,6,True,True,True,True,True,False,False,False,False,False,
80,Google,dart-shapeshift,4,False,True,False,False,False,False,False,False,False,False,
81,NVIDIA Corporation,df-nvshmem-prototype,1,False,False,False,False,True,False,False,False,False,False,0.0
82,International Business Machines,watson-discovery-news,14,False,False,False,False,True,True,True,True,False,True,
83,Google,oss-fuzz-vulns,7,False,False,False,False,False,False,False,False,True,False,
84,Intel Corporation,parameter-framework,32,False,False,True,True,True,True,True,True,True,True,
85,International Business Machines,kubernetes-security,1,False,False,False,False,False,False,True,False,False,True,
86,International Business Machines,chopstix,2,False,False,False,False,False,True,True,True,True,True,
87,International Business Machines,conductor-code-server-notebook,2,False,False,False,False,False,False,True,False,False,True,
88,International Business Machines,pcap-scrubber,1,False,False,False,False,False,False,False,False,True,True,
89,"Nutanix, Inc.",sails-adapter-boilerplate,1,True,False,False,False,False,False,False,False,False,False,
90,Google,moodle-on-gcp,3,False,False,False,False,False,False,False,False,True,False,
91,Square,square-java-sdk,13,False,False,False,False,False,False,True,True,True,True,
92,International Business Machines,platinum-demo-code-eem,2,False,False,False,False,False,False,False,False,True,False,
93,Twitter,hogan.js,38,False,True,True,True,True,True,True,True,False,True,1.0
94,Uber Open Source,neuropod,13,False,False,False,False,False,False,True,True,True,True,3.0
95,JetBrains,teamcity-azure-template,7,False,False,False,False,True,True,True,True,False,False,
96,Intel Corporation,android-apps,1,False,False,False,False,False,True,False,False,False,False,
97,GitHub,code-scanning-javascript-demo,20,False,True,True,True,True,True,True,True,False,True,
98,Yahoo,express-normalized,1,False,True,True,True,False,False,False,False,False,True,1.0
99,Salesforce,tough-cookie,33,False,False,False,False,False,True,True,True,True,True,
100,Google,it-cert-automation-project,1,False,False,False,False,False,False,True,False,False,False,
101,Tenable,transfer-sample,1,False,False,False,False,False,False,False,False,True,False,0.0
102,Amazon,amazon-launcher-integration-cordova-plugin,2,False,False,False,False,True,False,False,False,False,False,
103,Google,go-tpm-tools,13,False,False,False,False,False,False,False,False,True,True,
104,Douban Inc.,douban-orz,3,False,False,False,False,False,False,False,False,False,False,0.0
105,Yelp.com,task_processing,21,False,False,False,False,False,False,False,True,True,True,
106,Alibaba,AliceMind,11,False,False,False,False,False,False,False,True,True,False,0.0
107,International Business Machines,extract-audio-from-video,3,False,False,False,False,False,False,True,False,False,False,
108,Medium,shepherd,13,False,True,True,True,True,True,True,False,False,True,
