repo_full_name,predict,Truth,correct
maxDNN,1,1,1
teamcity-docker-minimal-agent,1,1,1
h5vcc-web-platform-tests,0,0,1
tchannel,1,1,1
atom-grammar-nessuskb,1,0,0
ansicolor-dart,1,1,1
ceph,1,0,0
point-of-sale-android-sdk,1,1,1
RiscVEdk2,0,0,1
mnemonics,1,1,1
edkiibuilddataviewer,1,1,1
osdetector-gradle-plugin,1,1,1
infinity,1,0,0
babel-plugin-angular-annotate,1,1,1
grpc-c,1,1,1
incubator-mynewt-core,1,0,0
tac_plus,1,1,1
latency-benchmark,1,1,1
cpp-russia-2017-clion,1,1,1
streamy-dart,1,1,1
ruskit,1,1,1
bpwrapper,0,0,1
RxGroups,1,1,1
burst,1,1,1
metrics,1,1,1
mobx-react,1,0,0
contrail-generateDS,1,1,1
qg.web,1,1,1
watson-streaming-stt,1,1,1
breadboard,1,1,1
Automation,1,1,1
mos-components-ci,1,0,0
greenify,1,1,1
pegasus-YCSB,1,1,1
pybridge,0,0,1
ukai,1,1,1
git-fastclone,1,1,1
easypki,1,1,1
kir-holiday-lights,1,1,1
slowfs,0,0,1
tinper-webide,1,1,1
CausalImpact,1,1,1
intellij-coffee-script-debugger,0,1,0
github-issue-mover,1,1,1
dotty,1,0,0
range-spec,1,1,1
nagios-hpeilo-restful-extension,1,0,0
airpal,1,1,1
yara-rules,1,1,1
draccus,1,1,1
webapps-rabbit,1,0,0
matador,1,1,1
google-interview-university,1,1,1
dptf,1,1,1
cordova-plugin-jsms,1,1,1
kafka-tools,1,1,1
tmt-workflow,1,1,1
pfop,1,1,1
docker-aptly,1,1,1
jpuppet-download,1,1,1
node-i18n-utilities,1,1,1
music-synthesizer-for-android,1,1,1
nanoscope-art,1,1,1
yelp-avro,1,1,1
pyre2,1,1,1
deep-learning-technologies,1,1,1
docker-example-ali,1,1,1
awesome-css-cn,1,1,1
wincollect,1,1,1
pez-haas-pynsxv-old,1,1,1
gpgmeh,1,1,1
rallyslack,1,1,1
HOT-OpenStack,0,1,0
mi-visualization,1,1,1
rides-java-sdk,1,1,1
contrail-aws-ci-provisioning,0,0,1
binnavi,1,1,1
tape,1,1,1
awesome-machine-learning-cn,1,1,1
k8srnd-sockshop-payment,1,1,1
webim-react-native,1,1,1
param_runner,1,0,0
cordova-plugin-intel-xdk-multitouch,1,1,1
libphutil,1,0,0
tinyTILE-Extended-Support-Library,1,1,1
netconf-php,1,0,0
smilesparser,1,0,0
dagger,1,1,1
usbinfo,1,1,1
flask-mako,1,1,1
gdata-objectivec-client,1,1,1
ccs-caldavclientlibrary,1,1,1
jalic,1,0,0
merchant-sdk-ruby,1,1,1
thrift-parser,1,1,1
recruitment,1,1,1
aminator,1,1,1
doloop,0,0,1
sqeduler,1,1,1
RestVolley,1,1,1
foedus_results,1,0,0
qlogfetch,1,1,1
PivotalCoreKit,1,1,1
CODK-M-X86,1,1,1
youtrack-rest-python-library,1,1,1
bettertls,1,1,1
alexa-skills-kit-js,1,1,1
thread-weaver,1,0,0
netshoot,1,1,1
Redhead,0,1,0
dockyard,1,1,1
ARM_NEON_2_x86_SSE,1,1,1
whale,1,1,1
osadsp-crosstool-ng,1,1,1
YiDB,1,1,1
self-published-geo,1,1,1
numatop,1,1,1
virtualenv-tools,1,1,1
nvidia-persistenced,1,1,1
edda,1,1,1
schemaorg-java,1,1,1
python-brotli-rs,0,0,1
mcafp,1,0,0
corgi,1,1,1
multibinder,1,1,1
zencoder,0,1,0
PayPal-Android-SDK,1,1,1
deepin-kglobalaccel,1,1,1
google-visualization-python,1,1,1
hiredis-vip,1,1,1
gifshot,1,1,1
DevArtTools,1,0,0
Sequence-Semantic-Embedding,1,1,1
mortar,1,1,1
fpc,0,1,0
nemo-accessibility,1,1,1
pam_krb5_ccache,1,1,1
rsp-sw-toolkit-im-suite-gojsonschema,1,1,1
galaxy-fds-sdk-android,1,1,1
zendesk-java-client,1,1,1
intel-hybrid-driver,1,1,1
idm,1,1,1
libavcodec-hooks,1,0,0
branch-locker,1,1,1
presto,0,0,1
NMessenger,1,1,1
simcc,1,1,1
bfs,1,1,1
brillo-edison-binaries,0,0,1
cloudinfo,1,0,0
tchannel-node,1,1,1
qemu-lite,1,1,1
ring-ui-license-checker,1,1,1
spatial-media,1,1,1
soap4r,1,1,1
AliSQL,1,1,1
Coding-Plugin-for-JetBrains,1,1,1
puppet-ca_cert,1,1,1
aactivator,1,1,1
account-provisioning-for-google-apps,1,0,0
KIF-Quick,0,1,0
teamcity-bitbucket-issues,1,1,1
brubeck,1,1,1
runAs,1,1,1
Polymorph,1,1,1
storm-yarn,1,1,1
go-mysql,1,0,0
bdglue,1,1,1
baryon,1,0,0
rubocop,1,0,0
gryffin,1,1,1
hypernova-node,1,1,1
contrail-go-api,1,1,1
synsanity,1,1,1
tc-sbt-runner,1,1,1
idris-protobuf,1,0,0
galaxy-sdk-python,1,1,1
osstrich,1,1,1
deepin-query-system,1,0,0
generate-uui,1,1,1
dex-test-parser,1,1,1
glog,1,1,1
adapt-googleanalytics,1,1,1
paypal-retail-node,1,1,1
wsgi-mod-rpaf,1,1,1
pyston-perf,1,0,0
paradox-testng,1,1,1
cocoapods-blocklist,1,1,1
identity-toolkit-java-client,1,0,0
sdk-core-php,1,1,1
seafile-vagrant,1,1,1
embedded-druid,1,0,0
yugong,1,1,1
MLSL,1,1,1
cpp-driver,1,0,0
params_deserializers,1,0,0
alibaba.github.com,1,1,1
Fanvas,1,1,1
arachne,1,1,1
nagios-plugins-hpilo,1,1,1
TeamCity.PluginTemplate,1,1,1
php-co-koa,1,1,1
teamcity-achievements,1,1,1
falcor-hapi,1,0,0
ufop-java,1,0,0
sdk-core-dotnet,1,1,1
scene_lab,1,1,1
amazon-pay-sdk-csharp,1,1,1
tmix-caching,1,0,0
beautiful-audio-editor,1,1,1
puppet-munki,1,1,1
ccnet-server,1,1,1
TDOAuth,1,1,1
teamcity-cpp,1,1,1
py-auto-resource-generator,1,1,1
node-logg,1,1,1
Providence,1,1,1
coursebuilder-core,1,0,0
poseidon,1,1,1
phabricator-changes,1,1,1
socket.io-client,0,1,0
martian-java,1,0,0
import-mailbox-to-gmail,1,1,1
mobx-router,1,1,1
dbx-unittest2pytest,1,1,1
sdk-core-java,1,1,1
Pine,1,1,1
vim-glaive,1,1,1
godepq,1,1,1
subpar,1,1,1
asciidoc-manning-templates,1,1,1
NuGet.BuildTasks,1,1,1
system-designer,1,1,1
lemur-docker,1,1,1
nogotofail,1,1,1
thrift-client,1,1,1
vim-maktaba,1,1,1
gcm,1,1,1
py-jnpr-wlc,1,1,1
qiniutest,1,1,1
cloud-dleyna,1,1,1
adaptivepayments-sdk-dotnet,1,1,1
Learning-Sharing,1,0,0
cordova-plugin-intel-xdk-geolocation,1,1,1
libgep,1,0,0
YHSShowcaseApp,1,1,1
nvthreads,1,1,1
open-falcon,1,1,1
libkv,1,1,1
a11y,1,0,0
p1_utils,1,1,1
collectd-elasticsearch,1,1,1
protobuf-dt,1,0,0
securitybot,1,1,1
ietf-cms,1,1,1
Tardis,1,0,0
subcommands,1,1,1
foedus_oa_papers,1,0,0
appframework,1,1,1
nnproxy,1,0,0
password-sync-support-tool,1,1,1
libnica,1,1,1
android-netdiag,1,1,1
merge-pull-request-trigger,1,1,1
PigPen,1,1,1
SparkMultiuserBenchmark,1,1,1
Spyglass,1,1,1
foedus_polytree,1,0,0
teamcity-tests-watchdog,1,1,1
senml,1,1,1
ycb-config,1,1,1
samples-nodejs-express-4,1,1,1
cedexis.github.com,1,1,1
kafka-statsd-metrics2,1,1,1
fast_rgf,1,1,1
vidm-saml-toolkit,1,1,1
Mess,1,1,1
teamcity-caches-cleanup-plugin,1,1,1
deepin-testcases,1,0,0
googleapps-message-recall,1,0,0
homebrew-paasta,1,0,0
tegra-uboot-flasher-scripts,1,1,1
ECFileCache,0,1,0
amazon-pay-sdk-java,1,1,1
awsobjectmapper,1,1,1
librato.dart,1,1,1
libovsdb,1,1,1
css-style-guide,1,0,0
webapps-hangonman,1,0,0
ansible-coreos-bootstrap,1,1,1
open-nti-input-syslog,1,0,0
kero-server-adapter,1,0,0
puppet-solaris_providers,1,1,1
cors-filter,1,0,0
skicka,1,1,1
fog-aws,1,1,1
TelemetryInterface,1,1,1
grafana-can-plugin,1,1,1
falcor-router-demo,1,1,1
serialization.dart,1,0,0
bazel-sonatype,1,1,1
mos-ci-deployment-scripts,1,1,1
todo-tracks,1,1,1
jsx,1,1,1
mapv,1,0,0
pagespeed-inslides,1,1,1
outsourcer,0,1,0
galaxy-sdk-cpp,1,1,1
netflix-graph,1,1,1
resharper-angularjs,1,1,1
cordova-google-play-games-services,1,0,0
celebrer,1,0,0
macops-planb,1,1,1
deepin-kernel-tools,0,1,0
dorusu-js,1,0,0
awesome-mysql-cn,1,1,1
docker-phpldapadmin,1,1,1
google-api-cpp-client,1,1,1
rappor,1,1,1
android-audio-hal,1,1,1
MPS-Contrib,1,1,1
eddystone,1,1,1
pindrop,1,1,1
jbender,1,0,0
jsx,1,1,1
dleyna-server,1,1,1
image-compression,1,1,1
blinkr,1,1,1
node-scr,1,1,1
merchant-sdk-java,1,1,1
developer.github.com,1,0,0
atm-locations-reference-app,1,1,1
nemo,1,1,1
otc-slack-broker,1,0,0
crossfilter,1,1,1
puppetlabs-stdlib,0,1,0
awesome-go-cn,1,1,1
ephemeral-port-reserve,1,1,1
tinycrypt,1,1,1
CODK-A,1,1,1
smartstack-cookbook,1,1,1
Argo,1,0,0
PayPal-Java-SDK,1,1,1
redgrep,1,1,1
webapps-tenframe,1,0,0
p2p-games,1,1,1
modshot,1,1,1
plyj,1,1,1
mce-test,1,1,1
cassette,1,1,1
swift-lmdb,1,1,1
LEGO-Pack,1,1,1
progit2-zh,1,1,1
url-search-params,1,1,1
IntelSEAPI,1,1,1
cityhash,1,1,1
edison-linux,1,1,1
saigon,1,1,1
ruby-prof,1,1,1
